player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Mason White,43872,S,OREGON ST,11,83,0,265,0,14.0,66.7,88.0,10.0,6.7,0,1,33.3,81.8,0,18,0.0,0,1,91.0,2,22,26.5,25,1,3,3,0,24,10,1.2,12.0,0,0,-5.0,100.0,98.1,48.0,48.0,0,1,100.0,75.9,0,1,0.0,0,1,79.2,1,53,63.9,54,0,5,1,0,1,6,0.0,1.0
James Camden,53418,LB,W MICHIGAN,14,274,0,347,0,6.0,100.0,81.8,27.5,27.5,0,0,0.0,79.4,0,18,0.0,0,0,150.0,2,63,23.0,77,3,3,2,1,21,9,0.4,10.5,0,2,2.5,76.9,77.7,14.4,11.1,0,0,0.0,67.4,0,23,16.7,2,0,92.5,10,153,55.8,197,8,8,13,0,82,59,0.6,8.2
Iesa Jarmon,53981,CB,AKRON,1,8,0,102,0,,,100.0,,,0,0,,62.2,0,,,0,0,0.0,0,2,25.0,2,0,0,0,0,0,0,0.0,,0,0,18.0,100.0,100.0,4.0,4.0,0,0,0.0,52.7,0,12,,0,0,156.3,1,4,50.0,4,0,0,1,1,12,0,3.0,12.0
Shaun Myers,62235,LB,COLORADO,10,96,0,143,1,3.8,100.0,60.3,10.5,10.5,0,0,0.0,51.4,0,33,0.0,0,0,158.3,4,44,45.8,73,0,1,4,2,57,42,1.4,14.3,0,2,5.7,57.1,98.0,11.5,6.6,0,1,14.3,85.3,0,8,16.7,1,1,62.2,4,48,50.0,49,2,3,7,0,3,3,0.1,0.8
Mister Williams,70521,LB,S DIEGO ST,13,270,0,284,0,5.0,25.0,67.2,39.0,9.8,0,1,25.0,56.7,0,0,0.0,0,1,39.6,1,43,15.9,64,0,1,4,0,0,7,0.0,0.0,0,0,3.1,72.7,94.1,12.2,8.9,0,1,4.5,53.2,0,35,25.0,2,0,112.3,16,206,76.3,219,4,6,22,1,182,128,0.9,11.4
Ben Florentine,70644,DI,WYOMING,12,3,0,351,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,115,0,1,0,0,0,0,,,0,0,,,1.1,,,0,0,,56.5,0,,50.0,1,0,0.0,0,1,33.3,95,3,1,0,0,0,0,0.0,
Korey Foreman,70831,ED,FRESNO ST,13,18,0,169,0,,,15.1,,,2,2,,75.4,0,,100.0,2,2,0.0,0,13,72.2,86,1,0,0,0,0,0,0.0,,0,0,11.7,66.7,4.3,2.5,1.7,0,0,0.0,46.6,0,17,100.0,2,0,103.5,2,5,27.8,115,3,0,3,0,33,10,6.6,16.5
Calvin Pitcher,70877,LB,UAB,12,88,0,321,1,9.3,66.7,65.5,9.5,6.3,0,1,33.3,59.7,0,14,0.0,0,1,125.0,2,19,21.6,29,1,0,3,1,20,8,1.1,10.0,0,1,4.2,80.0,86.6,14.0,11.2,0,0,0.0,39.4,0,65,62.5,5,0,118.8,4,58,65.9,67,0,2,5,0,95,94,1.7,23.8
Tate Romney,70946,LB,ARIZONA ST,10,46,0,110,0,9.0,0.0,63.6,,6.0,0,0,0.0,63.3,0,,,0,0,39.6,0,7,15.2,11,0,0,1,0,0,0,0.0,,0,1,7.6,80.0,92.1,8.8,7.0,0,1,20.0,48.5,0,30,33.3,1,1,156.3,4,35,76.1,38,0,1,5,1,60,31,1.7,15.0
Domani Jackson,71370,CB,ALABAMA,15,300,0,103,0,4.8,87.5,100.0,8.0,7.0,0,0,0.0,62.0,0,38,0.0,0,0,135.9,7,62,20.7,62,4,8,8,1,57,21,1.0,8.1,0,1,6.5,69.2,99.5,22.9,15.8,0,1,7.7,74.0,0,25,6.3,1,1,84.8,9,212,70.7,213,4,14,13,0,78,21,0.4,8.7
