player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Brycen Sanders,172527,C,OLE MISS,15,100.0,1,226,59.1,61.5,56.1,2,11,551,100.0,100.0,98.8,3,13,0,1084,1083,0,0,1084,586,586,1,0,498,0
Jayden Williams,146815,T,OLE MISS,15,100.0,0,226,69.7,78.5,60.8,2,13,551,100.0,100.0,98.3,1,17,2,1082,0,0,0,1082,586,586,0,1072,496,9
Patrick Kutas,163635,G,OLE MISS,15,100.0,0,226,64.6,66.8,65.0,5,9,551,100.0,100.0,98.5,6,15,1,1081,0,0,0,1081,586,586,1080,1,495,0
Diego Pounds,143976,T,OLE MISS,15,100.0,0,226,62.4,75.8,51.7,3,13,548,100.0,100.0,98.5,2,16,0,1079,0,1,1076,1079,583,583,0,0,496,1
Markel Bell,183226,T,MIAMI FL,16,100.0,0,220,72.1,83.5,66.0,1,14,534,100.0,100.0,98.6,7,15,0,1034,0,1,1029,1034,558,558,0,0,476,3
James Brockermeyer,125681,C,MIAMI FL,16,100.0,1,220,72.5,86.4,68.8,2,10,534,100.0,100.0,98.9,5,12,0,1033,1033,0,0,1033,558,558,0,0,475,0
Francis Mauigoa,170088,T,MIAMI FL,16,99.9,1,220,82.6,87.0,77.1,4,9,533,99.8,99.8,98.4,7,15,2,1033,0,0,0,1034,557,558,10,1022,476,1
Pat Coogan,147482,C,INDIANA,16,100.0,0,190,78.0,84.0,75.3,0,10,452,100.0,100.0,98.9,2,10,0,1027,1027,0,0,1027,483,483,0,0,544,0
Carter Smith,156399,T,INDIANA,16,99.9,0,190,85.2,87.8,82.9,0,7,451,99.8,99.8,98.8,7,9,2,1027,0,0,1019,1028,482,483,0,0,545,6
Anez Cooper,162732,G,MIAMI FL,16,100.0,0,220,68.8,78.9,67.4,2,9,527,100.0,100.0,98.8,8,12,1,1022,0,2,0,1022,551,551,1008,2,471,9
Amare Grayson,189783,G,JVILLE ST,14,100.0,1,196,69.3,74.9,66.6,1,8,412,100.0,100.0,98.7,4,10,1,1008,0,0,21,1008,440,440,985,0,568,1
Nikola Milovac,169998,T,KENNESAW,14,100.0,1,200,50.0,54.9,51.3,5,28,490,100.0,100.0,96.4,11,34,1,1000,0,0,0,1000,523,523,0,982,477,18
Bray Lynch,156401,G,INDIANA,16,100.0,0,190,62.4,63.1,61.2,1,12,437,100.0,100.0,98.1,5,15,2,993,1,0,0,993,468,468,992,0,525,0
Fintan Brose,142242,G,DELAWARE,13,99.9,1,151,68.3,78.2,61.4,2,14,593,100.0,99.8,98.3,1,18,2,991,142,842,0,992,635,636,0,2,356,0
Justin Pickett,143870,G,DUKE,14,100.0,1,154,67.9,75.0,67.2,2,18,558,100.0,100.0,98.0,7,21,1,988,0,0,0,988,594,594,897,88,394,0
Brandon Best,156298,G,KENNESAW,14,100.0,0,200,62.7,80.7,55.5,1,7,486,100.0,100.0,99.0,0,9,1,988,0,987,0,988,518,518,0,0,470,1
Matt Craycraft,162694,C,DUKE,14,100.0,1,154,68.4,74.1,64.3,1,13,559,100.0,100.0,98.0,4,18,4,988,988,0,0,988,595,595,0,0,393,0
Riley McGehee,188347,T,ARK STATE,13,100.0,0,113,67.9,69.2,65.0,1,28,577,100.0,100.0,96.8,4,33,4,985,0,0,621,985,619,619,0,364,366,0
Bruno Fina,131791,T,DUKE,14,100.0,1,154,64.7,64.9,64.2,7,17,555,100.0,100.0,97.1,7,28,4,983,0,0,972,983,591,591,0,0,392,7
Noah Josey,126259,G,VIRGINIA,14,99.9,1,335,66.7,78.4,62.7,1,10,508,99.8,99.8,98.9,4,11,0,982,0,980,0,983,528,529,0,0,454,3
Anthony Caccese,173606,G,DELAWARE,13,100.0,0,151,65.7,74.0,60.8,3,7,586,100.0,100.0,98.6,5,13,3,981,0,1,0,981,629,629,729,247,352,2
Kadyn Proctor,172392,T,ALABAMA,15,99.4,0,103,85.9,84.2,81.1,4,15,584,99.5,99.5,98.0,2,21,2,979,0,0,963,985,610,613,0,0,369,14
JaDarious Lee,162946,T,KENNESAW,14,100.0,1,200,38.8,33.1,44.7,11,34,479,100.0,100.0,94.7,8,48,3,979,0,0,920,979,511,511,0,4,468,55
Emmanuel Poku,162652,G,E CAROLINA,13,100.0,0,156,63.0,69.1,61.2,2,10,465,100.0,100.0,98.7,4,12,0,977,0,0,0,977,498,498,975,0,479,0
Darius Bell,148375,C,E CAROLINA,13,100.0,0,156,53.5,63.2,52.1,2,14,465,100.0,100.0,98.1,9,17,1,976,976,0,0,976,498,498,0,0,478,0
Jack Hollifield,144079,C,TULANE,14,100.0,0,319,57.5,63.2,54.4,0,16,475,100.0,100.0,98.1,7,17,1,971,971,0,0,971,501,501,0,0,470,0
Cameron Griffin,170422,G,JVILLE ST,14,100.0,1,196,64.4,75.3,61.0,0,16,396,100.0,100.0,97.2,3,19,3,971,85,440,311,971,422,422,3,124,549,7
Tay Yanta II,144742,C,N TEXAS,14,100.0,0,251,72.1,84.2,71.4,1,8,508,100.0,100.0,99.1,10,9,0,969,967,0,1,969,541,541,0,0,428,0
