player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Brady Small,171015,C,ARMY,13,0,114,72.7,100.0,280,39.5,280,79.7,0,100.0,708,708,67.8,100.0,210,29.7,210
Teddy Williams,171030,T,ARMY,13,0,114,85.6,100.0,280,39.6,280,89.9,1,100.0,707,707,86.8,100.0,210,29.7,210
Henry Appleton,170956,T,ARMY,13,0,114,58.9,100.0,279,39.5,279,72.6,1,100.0,707,707,74.9,100.0,210,29.7,210
Will Jeffcoat,147322,G,ARMY,13,0,114,72.6,100.0,277,39.3,277,90.2,0,100.0,705,705,86.5,100.0,209,29.6,209
Ben Purvis,162577,G,NAVY,13,0,237,66.2,100.0,327,54.9,327,71.2,1,100.0,596,596,68.1,100.0,94,15.8,94
Costen Cooley,173854,C,AIR FORCE,12,1,101,60.2,100.0,266,44.9,266,70.0,2,100.0,592,592,66.6,100.0,121,20.4,121
Sean Crowley,189479,T,NAVY,13,0,237,62.4,100.0,320,54.8,320,59.7,0,100.0,584,584,55.5,100.0,93,15.9,93
Parker Poloskey,171004,TE,ARMY,13,1,114,63.9,100.0,222,38.7,222,69.5,2,100.0,574,574,61.6,100.0,172,30.0,172
Amare Grayson,189783,G,JVILLE ST,14,0,196,51.0,100.0,186,32.7,186,66.6,1,100.0,568,568,75.2,100.0,360,63.4,360
Luke Miller,190648,T,RICE,13,0,275,64.6,100.0,348,62.0,348,60.2,1,100.0,561,561,59.6,100.0,191,34.0,191
Bruin Fleischmann,173861,TE,AIR FORCE,12,0,101,61.6,100.0,245,44.5,245,58.0,3,100.0,550,550,59.2,100.0,118,21.5,118
Cameron Griffin,170422,G,JVILLE ST,14,0,196,57.3,100.0,176,32.1,176,61.0,0,100.0,549,549,61.1,100.0,351,63.9,351
Chad Schuster,158307,T,W MICHIGAN,14,0,347,59.8,100.0,300,54.8,300,63.3,0,100.0,547,547,64.3,100.0,203,37.1,203
Carter Smith,156399,T,INDIANA,16,0,190,75.4,100.0,237,43.5,237,82.9,0,100.0,545,545,83.4,100.0,267,49.0,267
Pat Coogan,147482,C,INDIANA,16,0,190,68.2,100.0,236,43.4,236,75.3,0,100.0,544,544,72.8,100.0,267,49.1,267
Paolo Gennarelli,170976,G,ARMY,11,1,114,58.7,100.0,207,38.7,207,64.6,1,100.0,535,535,65.0,100.0,159,29.7,159
Bray Lynch,156401,G,INDIANA,16,0,190,67.0,100.0,230,43.8,230,61.2,2,100.0,525,525,55.5,100.0,256,48.8,256
Lucas Mrachkovskiy,189802,C,JVILLE ST,14,0,196,61.8,100.0,172,33.2,172,64.5,0,100.0,518,518,66.4,100.0,329,63.5,329
Noah Short,163220,HB,ARMY,13,0,114,59.9,77.5,193,38.0,249,54.3,2,83.6,508,608,51.7,87.9,153,30.1,174
Jack Burnett,173847,G,AIR FORCE,12,0,101,66.7,100.0,229,45.3,229,80.9,1,100.0,506,506,70.0,100.0,96,19.0,96
Hoke Smith II,175268,G,NAVY,12,1,237,54.7,100.0,285,56.7,285,60.9,3,100.0,503,503,59.1,100.0,84,16.7,84
Samari Howard,170984,FB,ARMY,13,0,114,46.2,97.6,202,40.2,207,54.9,0,97.7,502,514,52.2,98.0,148,29.5,151
Raheem Anderson II,144926,C,W MICHIGAN,14,0,347,66.0,100.0,266,53.3,266,69.6,0,100.0,499,499,68.0,100.0,194,38.9,194
Trevor Tate,173885,T,AIR FORCE,12,0,101,62.1,100.0,217,43.6,217,69.3,0,100.0,498,498,75.3,100.0,99,19.9,99
Brycen Sanders,172527,C,OLE MISS,15,0,226,59.4,100.0,280,56.2,280,56.1,1,100.0,498,498,53.1,100.0,188,37.8,188
Jayden Williams,146815,T,OLE MISS,15,0,226,59.6,100.0,280,56.5,280,60.8,1,100.0,496,496,64.5,100.0,186,37.5,186
Diego Pounds,143976,T,OLE MISS,15,0,226,54.4,100.0,280,56.5,280,51.7,1,100.0,496,496,51.5,100.0,186,37.5,186
Patrick Kutas,163635,G,OLE MISS,15,0,226,56.8,100.0,280,56.6,280,65.0,2,100.0,495,495,74.9,100.0,185,37.4,185
Zach Greenberg,190848,C,JAMES MAD,14,0,197,59.2,100.0,223,45.1,223,64.8,1,100.0,494,494,69.6,100.0,241,48.8,241
Pearson Baldwin,150307,TE,JVILLE ST,14,0,196,48.4,100.0,163,33.1,163,57.6,1,100.0,492,492,51.6,100.0,308,62.6,308
Alvin Ebosele,158554,T,HOUSTON,13,0,182,54.2,100.0,210,42.8,210,61.2,0,100.0,491,491,67.8,100.0,236,48.1,236
Micah Barnett,162988,TE,RICE,13,0,275,62.8,100.0,310,63.4,310,62.1,0,100.0,489,489,73.4,100.0,162,33.1,162
Brandon Chatman,162541,HB,NAVY,13,2,237,51.3,90.8,268,55.5,295,55.5,2,89.4,483,540,56.4,83.1,74,15.3,89
Christian Jones,146145,T,S DIEGO ST,13,0,284,63.7,100.0,204,42.6,204,65.3,0,100.0,479,479,62.2,100.0,243,50.7,243
Emmanuel Poku,162652,G,E CAROLINA,13,0,156,55.5,100.0,156,32.6,156,61.2,2,100.0,479,479,66.8,100.0,300,62.6,300
Malachi Preciado,162892,C,S ALABAMA,12,0,288,59.0,100.0,310,64.7,310,60.0,1,100.0,479,479,63.5,100.0,159,33.2,159
Darius Bell,148375,C,E CAROLINA,13,0,156,59.4,100.0,156,32.6,156,52.1,2,100.0,478,478,52.6,100.0,301,63.0,301
Tanoa Togiai,131879,G,UTAH,13,0,328,54.2,100.0,341,71.3,341,54.6,0,100.0,478,478,56.2,100.0,112,23.4,112
Sean Sullivan,151161,T,RICE,13,0,275,62.1,100.0,296,61.9,296,63.7,0,100.0,478,478,64.8,100.0,164,34.3,164
Ashanti Cole,167085,G,LA TECH,13,0,208,50.8,100.0,297,62.3,297,56.1,1,100.0,477,477,65.0,100.0,159,33.3,159
Nikola Milovac,169998,T,KENNESAW,14,0,200,53.7,100.0,251,52.6,251,51.3,2,100.0,477,477,52.0,100.0,183,38.4,183
Markel Bell,183226,T,MIAMI FL,16,0,220,57.4,100.0,234,49.2,234,66.0,0,100.0,476,476,71.3,100.0,215,45.2,215
Francis Mauigoa,170088,T,MIAMI FL,16,0,220,74.5,100.0,234,49.2,234,77.1,1,100.0,476,476,74.3,100.0,215,45.2,215
James Brockermeyer,125681,C,MIAMI FL,16,0,220,65.7,100.0,234,49.3,234,68.8,0,100.0,475,475,66.7,100.0,215,45.3,215
Maarten Woudsma,163544,G,DOMINION,13,0,263,57.6,100.0,254,53.6,254,60.1,1,100.0,474,474,63.0,100.0,202,42.6,202
Hayden Christman,170453,T,LA TECH,13,0,208,51.5,100.0,294,62.3,294,56.2,0,100.0,472,472,64.7,100.0,157,33.3,157
Anez Cooper,162732,G,MIAMI FL,16,0,220,69.4,100.0,231,49.0,231,67.4,0,100.0,471,471,58.8,100.0,213,45.2,213
Jack Hollifield,144079,C,TULANE,14,0,319,50.7,100.0,172,36.6,172,54.4,2,100.0,470,470,57.7,100.0,245,52.1,245
Bayo Kannike,141282,G,S DIEGO ST,13,0,284,62.9,100.0,203,43.2,203,66.6,1,100.0,470,470,71.1,100.0,235,50.0,235
Joseph Simmons,156717,T,JAMES MAD,13,0,197,53.6,100.0,211,44.9,211,63.7,1,100.0,470,470,73.5,100.0,234,49.8,234
Brandon Best,156298,G,KENNESAW,14,0,200,53.8,100.0,248,52.8,248,55.5,0,100.0,470,470,63.7,100.0,179,38.1,179
JaDarious Lee,162946,T,KENNESAW,14,0,200,39.0,100.0,248,53.0,248,44.7,1,100.0,468,468,53.8,100.0,178,38.0,178
Joseph Borjon,158713,T,S DIEGO ST,13,0,284,58.3,100.0,200,42.7,200,64.1,1,100.0,468,468,65.1,100.0,237,50.6,237
Ross Ulugalu-Maseuli,146155,C,S DIEGO ST,13,0,284,63.8,100.0,197,42.2,197,67.6,0,100.0,467,467,66.9,100.0,239,51.2,239
Riley Nowakowski,129928,TE,INDIANA,16,0,190,59.1,100.0,209,44.8,209,69.7,0,99.6,466,468,72.2,99.6,225,48.3,226
Reggie Jackson,180915,T,JVILLE ST,12,0,196,54.4,100.0,149,32.0,149,69.6,1,100.0,466,466,76.2,100.0,300,64.4,300
Nick Krahe,173185,T,W VIRGINIA,12,0,343,46.5,100.0,149,32.0,149,57.4,2,100.0,465,465,63.4,100.0,274,58.9,274
Fernando Mendoza,158323,QB,INDIANA,16,0,190,60.0,95.9,213,45.8,222,60.0,0,91.7,465,507,60.0,94.8,235,50.5,248
Davion Weatherspoon,145888,G,OHIO,13,0,259,80.3,100.0,277,59.7,277,75.7,0,100.0,464,464,64.4,100.0,151,32.5,151
Sully Burns,158410,T,TEXAS ST,13,0,314,63.3,100.0,174,37.7,174,68.3,1,100.0,462,462,69.2,100.0,250,54.1,250
Dominick Giudice,144942,G,MISSOURI,13,0,229,57.3,100.0,161,34.9,161,68.7,3,100.0,461,461,77.5,100.0,266,57.7,266
Stephon Dubose-Bourne,145357,T,DOMINION,13,0,263,50.2,100.0,244,53.0,244,52.5,0,100.0,460,460,57.4,100.0,198,43.0,198
Keagen Trost,102324,T,MISSOURI,13,0,229,72.8,100.0,159,34.6,159,91.4,2,100.0,459,459,91.6,100.0,265,57.7,265
Shadre Hurst,158418,G,TULANE,14,1,319,66.1,100.0,168,36.8,168,80.9,6,100.0,457,457,92.2,100.0,235,51.4,235
Ryan Joyce,104638,C,DOMINION,13,0,263,60.3,100.0,244,53.4,244,59.8,1,100.0,457,457,59.1,100.0,196,42.9,196
Nick Marinaro,148848,C,OHIO,13,0,259,73.2,100.0,269,59.0,269,73.3,0,100.0,456,456,64.3,100.0,151,33.1,151
Aaron Fenimore,174929,C,LIBERTY,12,0,206,71.4,100.0,237,52.0,237,74.2,0,100.0,456,456,71.5,100.0,189,41.4,189
Eli Heidenreich,162554,FB,NAVY,13,0,237,58.3,85.1,245,53.8,288,66.4,0,85.4,455,533,80.4,83.1,74,16.3,89
Emeka Obigbo,168593,G,TEXAS ST,13,0,314,48.8,100.0,168,37.0,168,50.9,2,100.0,454,454,58.2,100.0,249,54.8,249
Kahlil Benson,129434,T,INDIANA,16,0,190,78.9,100.0,189,41.6,189,72.5,0,100.0,454,454,63.3,100.0,232,51.1,232
Pat McMurtrie,102273,T,JAMES MAD,14,0,197,59.9,100.0,205,45.2,205,64.6,2,100.0,454,454,74.3,100.0,224,49.3,224
Eli Finley,170458,TE,LA TECH,13,0,208,64.0,100.0,287,63.2,287,62.8,1,100.0,454,454,69.2,100.0,146,32.2,146
Noah Josey,126259,G,VIRGINIA,14,1,335,56.9,100.0,93,20.5,93,62.7,2,100.0,454,454,66.9,100.0,333,73.3,333
Jaren Kump,131859,C,UTAH,12,0,328,67.1,100.0,325,71.7,325,65.3,0,100.0,453,453,58.2,100.0,103,22.7,103
Harrison Hayes,147549,G,LIBERTY,12,0,206,56.0,100.0,234,51.8,234,62.7,0,100.0,452,452,69.1,100.0,187,41.4,187
Gavin Dabo,193092,G,W MICHIGAN,14,0,347,59.9,100.0,244,54.0,244,59.0,0,100.0,452,452,57.5,100.0,177,39.2,177
Carson Beck,124010,QB,MIAMI FL,16,0,220,60.5,99.6,233,51.5,234,60.6,0,95.2,452,475,60.4,96.3,207,45.8,215
Deondre Johnson,175506,WR,JVILLE ST,14,0,196,61.5,100.0,152,33.7,152,51.6,1,99.8,451,452,63.6,100.0,281,62.3,281
Connor Tollison,146881,C,MISSOURI,13,0,229,54.2,100.0,157,34.8,157,59.7,3,100.0,451,451,62.0,100.0,261,57.9,261
Bruce Mitchell,157431,C,BYU,14,0,128,64.1,100.0,133,29.5,133,77.5,1,100.0,451,451,79.3,100.0,259,57.4,259
Shedrick Rhodes Jr.,130602,T,OHIO,13,0,259,71.4,100.0,263,58.4,263,68.7,1,100.0,450,450,60.6,100.0,151,33.6,151
Dorion Strawn,150063,T,TEXAS ST,13,1,314,68.3,100.0,168,37.3,168,69.4,5,100.0,450,450,68.7,100.0,246,54.7,246
Martin Koivisto,158592,T,C MICHIGAN,13,0,134,63.9,100.0,322,71.7,322,65.4,2,100.0,449,449,63.6,100.0,116,25.8,116
Skyler Grant,145362,G,DOMINION,13,1,263,56.2,100.0,242,54.0,242,59.3,3,99.8,448,449,62.3,99.5,191,42.6,192
Shunmarkus Adams,150889,G,MARSHALL,12,0,214,51.1,100.0,132,29.6,132,57.4,0,100.0,446,446,62.9,100.0,270,60.5,270
Eric Meeks,53398,C,MARSHALL,12,0,214,60.3,100.0,132,29.6,132,61.5,2,100.0,446,446,62.6,100.0,270,60.5,270
Dave Iuli,163294,G,OREGON,15,0,264,53.4,100.0,211,47.3,211,57.2,2,100.0,446,446,58.0,100.0,195,43.7,195
Reese Baker,189564,T,TULANE,14,0,319,61.1,100.0,157,35.6,157,53.8,2,100.0,441,441,56.1,100.0,233,52.8,233
Spencer Fano,174217,T,UTAH,12,0,328,80.0,100.0,308,70.0,308,80.0,0,100.0,440,440,79.4,100.0,108,24.5,108
Caleb Lomu,176655,T,UTAH,12,0,328,58.6,100.0,308,70.0,308,62.0,3,100.0,440,440,65.6,100.0,108,24.5,108
Delano Townsend,173351,G,OLE MISS,14,0,226,52.1,100.0,242,55.1,242,54.4,1,100.0,439,439,59.5,100.0,173,39.4,173
Emmanuel Pregnon,128427,G,OREGON,15,0,264,69.0,100.0,213,48.5,213,85.8,0,100.0,439,439,93.0,100.0,184,41.9,184
Brock Rechsteiner,150309,WR,JVILLE ST,13,0,196,59.1,100.0,140,31.9,140,59.2,0,99.3,439,442,65.3,100.0,285,64.9,285
Dalton Merryman,176436,T,HOUSTON,12,0,182,62.0,100.0,191,43.7,191,66.7,1,100.0,437,437,69.5,100.0,208,47.6,208
Michael Mokofisi,146439,G,UTAH,13,0,328,52.2,100.0,310,71.1,310,54.4,1,100.0,436,436,60.7,100.0,101,23.2,101
Kage Casey,157197,T,BOISE ST,13,1,120,74.3,100.0,237,54.6,237,75.8,1,100.0,434,434,67.4,100.0,171,39.4,171
Tanner Koziol,156895,TE,HOUSTON,13,0,182,42.4,100.0,191,44.0,191,46.0,0,100.0,434,434,57.7,100.0,198,45.6,198
Sheridan Wilson,157336,C,TEXAS TECH,14,0,315,66.7,100.0,193,44.6,193,62.8,0,100.0,433,433,58.9,100.0,210,48.5,210
Canon Boone,146846,C,MISS STATE,13,0,227,56.2,100.0,180,41.6,180,64.9,0,100.0,433,433,70.9,100.0,222,51.3,222
Derrick Graham,123703,T,TULANE,13,0,319,54.9,100.0,160,37.0,160,60.1,0,100.0,433,433,62.6,100.0,221,51.0,221
Isaiah Jatta,171896,T,BYU,14,0,128,54.5,100.0,124,28.7,124,70.5,4,100.0,432,432,75.7,100.0,252,58.3,252
Keylan Rutledge,156597,G,GA TECH,13,0,176,71.1,100.0,280,64.8,280,76.8,2,100.0,432,432,77.4,100.0,112,25.9,112
Jax Harrington,98255,T,LA LAFAYET,13,0,207,69.9,100.0,133,30.9,133,71.4,0,100.0,431,431,69.2,100.0,282,65.4,282
Jordon Jones,164122,T,OHIO,13,1,259,67.2,100.0,256,59.4,256,65.5,1,100.0,431,431,58.9,100.0,140,32.5,140
Logan Jones,129473,C,IOWA,13,0,192,63.4,100.0,111,25.8,111,73.0,0,100.0,430,430,74.0,100.0,270,62.8,270
Brock Riker,190110,C,TEXAS ST,12,1,314,64.6,100.0,170,39.5,170,71.5,2,100.0,430,430,74.3,100.0,225,52.3,225
Donovan Brown,158293,WR,S DIEGO ST,13,0,284,58.9,100.0,175,40.8,175,58.3,1,99.5,429,431,66.1,100.0,235,54.8,235
Josiah Chenault,177028,C,KENNESAW,14,0,200,62.6,100.0,226,52.7,226,63.5,1,100.0,429,429,63.7,100.0,161,37.5,161
Davion Carter,158004,G,TEXAS TECH,14,0,315,56.8,100.0,191,44.5,191,64.9,0,100.0,429,429,72.5,100.0,207,48.3,207
Landon Hron,171313,C,N ILLINOIS,12,0,254,64.4,100.0,162,37.8,162,65.1,1,100.0,429,429,64.0,100.0,243,56.6,243
Tay Yanta II,144742,C,N TEXAS,14,0,251,64.6,100.0,153,35.7,153,71.4,1,100.0,428,428,72.1,100.0,250,58.4,250
Jacob Spomer,163415,C,FRESNO ST,13,0,169,73.3,100.0,271,63.6,271,76.6,0,100.0,426,426,73.9,100.0,125,29.3,125
Jim Bonifas,144544,C,IOWA STATE,12,0,193,69.3,100.0,209,49.1,209,68.5,0,100.0,426,426,65.7,100.0,182,42.7,182
Jalen Slappy,156800,G,MARSHALL,12,0,214,57.5,100.0,127,29.9,127,65.2,0,100.0,425,425,70.8,100.0,256,60.2,256
Kade Pieper,170170,G,IOWA,13,0,192,64.6,100.0,112,26.4,112,83.5,0,100.0,425,425,88.9,100.0,266,62.6,266
Reid Williams,129405,C,UNLV,14,0,325,70.5,100.0,274,64.6,274,66.9,0,100.0,424,424,63.3,100.0,121,28.5,121
Braydon Nelson,190617,T,N TEXAS,14,0,251,61.1,100.0,153,36.1,153,71.3,1,100.0,424,424,75.0,100.0,247,58.3,247
Chase Hendricks,171348,WR,OHIO,13,0,259,58.9,99.6,253,59.7,254,55.1,0,99.8,424,425,69.6,100.0,139,32.8,139
Howard Sampson,156612,T,TEXAS TECH,14,0,315,62.1,100.0,187,44.1,187,70.5,3,100.0,424,424,74.4,100.0,206,48.6,206
Drayden Dickmann,173233,WR,RICE,12,1,275,53.3,97.7,258,61.0,264,48.8,1,97.0,423,436,55.8,98.1,152,35.9,155
Carter Sweazie,156714,G,JAMES MAD,14,0,197,64.9,100.0,195,46.1,195,64.8,1,100.0,423,423,62.6,100.0,204,48.2,204
Curtis Peagler,157160,G,MISSOURI,13,1,229,57.6,100.0,152,36.0,152,60.6,5,100.0,422,422,67.2,100.0,242,57.3,242
Drew Evans,158693,G,INDIANA,12,0,190,67.3,100.0,185,43.8,185,72.8,0,100.0,422,422,68.5,100.0,202,47.9,202
Daylon Metoyer,190992,T,BOISE ST,13,0,120,50.5,100.0,231,54.7,231,50.1,1,100.0,422,422,54.0,100.0,163,38.6,163
Monroe Freeling,173548,T,GEORGIA,14,0,173,53.5,100.0,192,45.5,192,61.7,1,100.0,422,422,64.7,100.0,190,45.0,190
Nathan Elwood,186416,T,AIR FORCE,12,0,101,56.3,100.0,197,46.8,197,66.6,1,100.0,421,421,80.3,100.0,81,19.2,81
Jacob Ponton,184909,T,TEXAS TECH,14,0,315,69.0,100.0,189,44.9,189,73.7,1,100.0,421,421,71.9,100.0,201,47.7,201
Beau Sparks,173021,WR,TEXAS ST,13,0,314,63.9,98.7,157,37.3,159,66.8,1,98.8,421,426,68.6,100.0,232,55.1,232
Jacoby Jackson,144756,G,MISS STATE,13,1,227,57.5,100.0,171,40.6,171,55.4,1,100.0,421,421,55.7,100.0,216,51.3,216
Demetrius Hunter,156167,C,HOUSTON,12,0,182,61.6,100.0,176,41.9,176,61.9,2,100.0,420,420,63.4,100.0,205,48.8,205
Rodney Harris II,133616,WR,OHIO,13,0,259,63.2,100.0,252,60.0,252,61.4,1,100.0,420,420,66.3,100.0,133,31.7,133
Alex Harkey,157695,T,OREGON,14,0,264,64.1,100.0,205,48.8,205,65.0,3,100.0,420,420,60.3,100.0,175,41.7,175
Dallen Bentley,176648,TE,UTAH,13,1,328,60.3,99.7,297,70.9,298,61.7,2,99.8,419,420,66.2,100.0,100,23.9,100
Edward Fonua,173529,G,FRESNO ST,13,0,169,49.3,100.0,266,63.6,266,57.3,1,100.0,418,418,73.8,100.0,124,29.7,124
Evan Malcore,158043,T,N ILLINOIS,12,0,254,60.3,100.0,160,38.3,160,72.0,1,100.0,418,418,75.4,100.0,234,56.0,234
Iapani Laloulu,174128,C,OREGON,15,0,264,60.7,100.0,197,47.1,197,64.5,1,100.0,418,418,67.6,100.0,180,43.1,180
