"name","id","position","team","rank"
"Fernando Mendoza",158323,"QB","Indiana",1
"Arvell Reese",170264,"LB","Ohio State",2
"Jeremiyah Love",171090,"HB","Notre Dame",3
"Sonny Styles",162876,"LB","Ohio State",4
"Rueben Bain Jr.",170082,"ED","Miami (FL)",5
"David Bailey",157272,"ED","Texas Tech",6
"Francis Mauigoa",170088,"T","Miami (FL)",7
"Caleb Downs",172375,"S","Ohio State",8
"Mansoor Delane",157650,"CB","LSU",9
"Carnell Tate",170273,"WR","Ohio State",10
"Dillon Thieneman",174971,"S","Oregon",11
"Spencer Fano",174217,"T","Utah",12
"Monroe Freeling",173548,"T","Georgia",13
"Kenyon Sadiq",174132,"TE","Oregon",14
"Makai Lemon",174150,"WR","USC",15
"Olaivavega Ioane",164174,"G","Penn State",16
"Jermod McCoy",176404,"CB","Tennessee",17
"CJ Allen",173539,"LB","Georgia",18
"Jordyn Tyson",157690,"WR","Arizona State",19
"Akheem Mesidor",123427,"ED","Miami (FL)",20
"Emmanuel McNeil-Warren",163155,"S","Toledo",21
"Keldric Faulk",172447,"ED","Auburn",22
"Avieon Terrell",170031,"CB","Clemson",23
"Omar Cooper Jr.",156395,"WR","Indiana",24
"Blake Miller",156248,"T","Clemson",25
"Cashius Howell",145655,"ED","Texas A&M",26
"Kadyn Proctor",172392,"T","Alabama",27
"Kayden McDonald",170258,"DI","Ohio State",28
"T.J. Parker",170021,"ED","Clemson",29
"Max Iheanachor",171881,"T","Arizona State",30
"Denzel Boston",162481,"WR","Washington",31
"Caleb Banks",144146,"DI","Florida",32
"Peter Woods",170034,"DI","Clemson",33
"Colton Hood",172450,"CB","Tennessee",34
"KC Concepcion",170362,"WR","Texas A&M",35
"Emmanuel Pregnon",128427,"G","Oregon",36
"Christen Miller",163747,"DI","Georgia",37
"Caleb Lomu",176655,"T","Utah",38
"Lee Hunter",146676,"DI","Texas Tech",39
"Zion Young",158404,"ED","Missouri",40
"Brandon Cisse",170368,"CB","South Carolina",41
"Ty Simpson",157008,"QB","Alabama",42
"D'Angelo Ponds",172259,"CB","Indiana",43
"Chris Bell",156321,"WR","Louisville",44
"Jacob Rodriguez",151095,"LB","Texas Tech",45
"Chris Johnson",158794,"CB","San Diego State",46
"R Mason Thomas",158080,"ED","Oklahoma",47
"Chase Bisontis",172570,"G","Texas A&M",48
"Germie Bernard",158374,"WR","Alabama",49
"Keith Abney II",171875,"CB","Arizona State",50
"Gabe Jacas",158210,"ED","Illinois",51
"A.J. Haulcy",163349,"S","LSU",52
"Eli Stowers",147013,"TE","Vanderbilt",53
"Malachi Lawrence",144461,"ED","UCF",54
"Keionte Scott",163644,"CB","Miami (FL)",55
"Jadarian Price",156985,"HB","Notre Dame",56
"Gennings Dunker",144859,"T","Iowa",57
"Chris Brazzell II",158409,"WR","Tennessee",58
"Jake Golday",150178,"LB","Cincinnati",59
"Skyler Bell",145163,"WR","Connecticut",60
"Treydan Stukes",131596,"CB","Arizona",61
"Bryce Lance",148151,"WR","North Dakota State",62
"Joshua Josephs",163768,"ED","Tennessee",63
"Caleb Tiernan",145042,"T","Northwestern",64
"Derrick Moore",158543,"ED","Michigan",65
"Josiah Trotter",173191,"LB","Missouri",66
"Dani Dennis-Sutton",164163,"ED","Penn State",67
"Davison Igbinosun",157129,"CB","Ohio State",68
"Antonio Williams",156241,"WR","Clemson",69
"Gracen Halton",85774,"DI","Oklahoma",70
"Mike Washington Jr.",145672,"HB","Arkansas",71
"Domonique Orange",157602,"DI","Iowa State",72
"Elijah Sarratt",159499,"WR","Indiana",73
"Keylan Rutledge",156597,"G","Georgia Tech",74
"Zachariah Branch",174142,"WR","Georgia",75
"Max Klare",162884,"TE","Ohio State",76
"Romello Height",123988,"ED","Texas Tech",77
"Deion Burks",145107,"WR","Oklahoma",78
"Darrell Jackson Jr.",144910,"DI","Florida State",79
"Connor Lew",172456,"C","Auburn",80
"Kyle Louis",162770,"LB","Pittsburgh",81
"Kamari Ramsey",162465,"S","USC",82
"Chandler Rivers",156257,"CB","Duke",83
"Sam Hecht",144601,"C","Kansas State",84
"Devin Moore",157751,"CB","Florida",85
"Anthony Hill Jr.",173158,"LB","Texas",86
"Sam Roush",157270,"TE","Stanford",87
"Jalen Farmer",157745,"G","Kentucky",88
"Daylen Everette",157079,"CB","Georgia",89
"Jake Slaughter",146693,"C","Florida",90
"LT Overton",158667,"ED","Alabama",91
"Keyron Crawford",156660,"ED","Auburn",92
"Garrett Nussmeier",146757,"QB","LSU",93
"Rayshaun Benny",144933,"DI","Michigan",94
"Logan Jones",129473,"C","Iowa",95
"Drew Allar",164157,"QB","Penn State",96
"Ted Hurst",187922,"WR","Georgia State",97
"Genesis Smith",171868,"S","Arizona",98
"Jonah Coleman",158717,"HB","Washington",99
"Malachi Fields",151069,"WR","Notre Dame",100
"Markel Bell",183226,"T","Miami (FL)",101
"Jaishawn Barham",156452,"ED","Michigan",102
"Keyshaun Elliott",156945,"LB","Arizona State",103
"Zakee Wheatley",145099,"S","Penn State",104
"Malik Muhammad",173165,"CB","Texas",105
"Michael Trigg",146410,"TE","Baylor",106
"Dontay Corleone",133825,"DI","Cincinnati",107
"Dametrious Crownover",146990,"T","Texas A&M",108
"Anthony Lucas",158657,"ED","USC",109
"Deontae Lawson",146608,"LB","Alabama",110
"Kaleb Proctor",160131,"DI","Southeastern Louisiana",111
"De'Zhaun Stribling",146508,"WR","Mississippi",112
"Carson Beck",124010,"QB","Miami (FL)",113
"Will Lee III",173110,"CB","Texas A&M",114
"Billy Schrauth",156979,"G","Notre Dame",115
"Brenen Thompson",163865,"WR","Mississippi State",116
"Bud Clark",123066,"S","TCU",117
"CJ Daniels",123874,"WR","Miami (FL)",118
"Zxavian Harris",163658,"DI","Mississippi",119
"Mikail Kamara",138455,"ED","Indiana",120
"Kage Casey",157197,"T","Boise State",121
"Landon Robinson",162580,"DI","Navy",122
"Tacario Davis",158719,"CB","Washington",123
"Tyreak Sapp",157752,"ED","Florida",124
"Chris McClellan",157743,"DI","Missouri",125
"Brian Parker II",162699,"T","Duke",126
