player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Mason White,43872,S,OREGON ST,11,5,10.0,0,0,265,81.1,69.2,81.8,68.1,43.2,73.7,17.6,3,0,103,106,3.9,4,9
James Camden,53418,LB,W MICHIGAN,14,20,5.1,0,0,347,79.6,81.1,54.6,77.0,74.9,66.9,14.3,11,1,307,312,8.8,27,46
Iesa Jarmon,53981,CB,AKRON,1,0,,0,0,102,43.4,43.4,71.0,,60.0,,,0,0,4,4,0.0,0,0
Malik Denkins,55516,ED,C MICHIGAN,8,2,1.8,0,0,134,61.2,62.1,79.0,56.0,60.2,78.6,0.0,0,0,38,39,7.9,3,4
Shaun Myers,62235,LB,COLORADO,12,4,2.0,0,0,143,74.0,70.1,29.1,52.4,69.1,54.8,18.8,6,1,188,190,9.0,17,22
Will Whitson,64470,ED,MISS STATE,2,2,-2.0,0,0,227,,81.1,76.9,74.8,75.4,78.8,0.0,0,0,18,18,16.7,3,3
Mister Williams,70521,LB,S DIEGO ST,13,21,3.5,0,0,284,54.2,69.8,83.9,72.1,80.1,76.5,5.7,3,0,244,250,8.2,20,29
Ben Florentine,70644,DI,WYOMING,12,9,1.6,0,0,351,57.0,74.8,86.1,69.2,74.5,67.5,6.5,2,0,277,282,6.1,17,20
Korey Foreman,70831,ED,FRESNO ST,13,4,3.5,1,0,169,46.4,66.6,36.4,69.4,70.5,58.7,5.3,1,2,110,113,8.2,9,14
Calvin Pitcher,70877,LB,UAB,12,12,4.1,0,0,321,42.7,58.8,84.7,52.3,70.4,66.1,5.4,2,0,197,200,7.1,14,23
Tate Romney,70946,LB,ARIZONA ST,10,1,4.6,0,0,110,52.1,49.6,0.0,53.4,56.5,50.2,18.2,2,1,47,48,4.3,2,8
Domani Jackson,71370,CB,ALABAMA,14,3,11.5,0,0,103,74.4,73.4,37.8,67.2,66.4,83.6,10.0,2,4,211,213,2.4,5,15
Keanu Tanuvasa,71398,DI,BYU,14,11,2.0,0,0,128,71.7,62.8,34.6,61.9,63.1,57.6,9.1,2,3,240,242,2.9,7,9
Aaron Smith,71596,CB,NEW MEXICO,2,0,,0,0,241,33.3,34.2,76.3,,53.8,41.8,100.0,1,0,12,12,0.0,0,0
DJ Harvey,72089,CB,USC,7,0,11.0,0,0,326,55.4,55.3,79.8,,55.0,49.4,50.0,1,1,47,48,0.0,0,1
Solomone Langi,72318,DI,S JOSE ST,11,8,1.3,0,0,285,60.7,71.3,82.6,66.4,70.4,59.3,11.1,2,0,130,135,6.2,8,8
Raider Damuni,72338,S,BYU,12,9,4.5,0,0,128,67.9,64.6,82.8,60.4,57.9,63.5,18.4,7,0,183,184,5.5,10,22
Justin Flowe,72388,LB,UNLV,10,4,5.5,0,0,325,75.5,72.1,0.0,56.5,72.6,56.0,14.3,1,1,27,27,3.7,1,2
Ian Shewell,72474,DI,ARIZONA ST,2,0,,0,0,110,60.2,59.3,72.0,62.4,55.0,71.3,,0,0,4,4,0.0,0,0
Jadon Pearson,72538,LB,FRESNO ST,13,17,4.5,0,1,169,67.3,64.6,86.7,46.5,65.5,81.7,10.0,7,1,307,324,9.1,28,46
Marco Notarainni,73389,LB,BOISE ST,14,12,2.7,0,0,120,78.5,68.8,60.8,61.7,59.8,59.8,17.5,11,1,365,370,8.2,30,40
Trent Whalen,73609,LB,ARKANSAS,4,0,2.0,0,0,111,54.8,61.5,74.1,64.6,69.9,82.7,0.0,0,0,10,10,20.0,2,2
Gio De Leon,73658,LB,BUFFALO,3,0,,0,0,126,64.2,61.1,74.4,57.7,57.5,73.0,,0,0,11,11,0.0,0,0
Cory Hall,73699,DI,UNLV,3,0,,0,0,325,,55.0,72.8,58.0,55.9,,,0,0,8,8,0.0,0,0
Taariq Al-Uqdah,74119,LB,WASHINGTON,3,1,7.7,0,0,340,68.7,67.5,80.5,68.8,58.5,78.4,8.3,1,0,55,56,10.9,6,10
Ryan Quintanar,74152,LB,USC,1,0,,0,0,326,36.1,28.7,70.8,56.0,41.7,17.7,100.0,1,0,4,4,0.0,0,0
Justin Sinclair,74258,S,HAWAII,10,2,7.0,0,1,180,51.2,57.3,80.0,60.0,69.5,79.8,0.0,0,2,63,65,3.2,2,9
Zion Branch,74395,S,GEORGIA,9,2,4.9,0,0,173,65.8,67.8,83.0,57.8,71.5,79.0,0.0,0,2,89,90,5.6,5,10
Jaymar Mundy,75041,CB,OHIO,5,0,5.0,2,0,259,51.2,48.9,0.0,,58.6,59.0,50.0,1,2,26,26,3.8,1,1
Silas Walters,75263,S,MIAMI OH,12,16,5.7,1,0,221,72.5,74.6,59.1,63.9,80.7,69.5,14.6,6,3,326,330,3.4,11,19
Aneesh Vyas,75285,DI,WYOMING,9,3,4.1,0,0,351,60.0,55.6,83.0,50.5,56.5,64.3,0.0,0,0,122,126,4.1,5,9
Bam Booker,76122,ED,BOWL GREEN,12,5,4.1,0,0,122,61.8,55.6,60.7,53.8,57.1,70.5,0.0,0,1,172,174,2.9,5,9
Solomon Vanhorse,78573,HB,INDIANA,1,0,,0,0,190,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Moroni Anae,81437,LB,UTAH,7,2,4.8,0,0,328,61.1,77.8,77.5,69.8,86.5,63.6,0.0,0,0,25,26,20.0,5,6
Brendon Harris,83446,S,MIDDLE TN,12,7,5.1,0,0,224,57.7,63.8,86.1,60.5,72.0,78.8,3.7,1,0,209,211,4.3,9,19
Jayden Dunlap,85725,CB,BYU,10,1,,1,0,128,55.5,58.8,79.2,71.4,68.3,62.1,0.0,0,1,60,60,0.0,0,0
Gracen Halton,85774,DI,OKLAHOMA,13,7,1.1,0,0,261,59.6,84.7,64.3,76.9,86.9,65.9,11.5,3,1,157,160,10.2,16,16
Kalib Perry,86267,LB,LOUISVILLE,13,4,3.5,0,0,210,47.1,58.2,84.4,51.5,70.9,60.9,15.2,5,0,159,164,11.3,18,24
